Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
29106 - 2014,19/03/2015,5 - PREGÃO PRESENCIAL,963,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,1870,"fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ALTERNATIVA COMERCIAL LTDA - ME,1307448.3,C R BUFE E EVENTOS LTDA - ME,18,ARTE ORIGINAL LTDA,Prefeitura Municipal de Uberlândia
30961 - 2014,09/01/2015,1 - CONVITE,1021,BUSCA PECAS COMERCIO LTDA - ME,2800,"manutenção de veículos (frota 100/GMM6453/78 e 271/GMM0180/91), em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com manutenção de veículos (frota 100/GMM6453/78 e 271/GMM0180/91), em atendimento à Superintendência de Operações e manutenção.",AMAZONAS GRAFICA DE ADESIVOS E BRINDES LTDA ME,180,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,13,ASENHORINHA TRANSPORTES LTDA - ME,Prefeitura Municipal de Uberlândia
27844 - 2014,10/09/2014,5 - PREGÃO PRESENCIAL,915,TRADE MARKETING HOTEIS TURISMO E EVENTOS LTDA,40000,"futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",Secretaria Municipal de Governo,"Qual o valor gasto com futura e eventual prestação de serviços de reserva, emissão, marcação, reemissão, cancelamento e reembolso de bilhetes de passagens aéreas nacionais e internacionais, em atendimento às Secretarias e Órgãos da Administração Direta da PMU.",AMAZONIA INDUSTRIA E COMERCIO LTDA,255960,CASA MARCELO DE FERRAGENS LTDA-EPP,2,"ASSOC MOT TRANS PASS EST GOIAS, TOCANTINS E MINA GERAIS",Prefeitura Municipal de Uberlândia
6736 - 2015,07/04/2015,1 - CONVITE,129,OPEL AUTO CENTER COMERCIO DE PECAS LTDA - ME,25000,"contratação de empresa especializada para o serviço de guincho em veículos leves, caminhonetes, vans e tratores, até 2.500 Kg., com assistência 24 horas, em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com contratação de empresa especializada para o serviço de guincho em veículos leves, caminhonetes, vans e tratores, até 2.500 Kg., com assistência 24 horas, em atendimento a Superintendência de Operações e manutenção.",ANDAIMES MONTAGENS E EVENTOS LTDA - ME,12800,CENTRO AUTOMOTIVO CENTRO OESTE LTDA - ME,2,ASSOCIACAO DOS TRANSPORTADORES DE PASSAGEIROS E CARGAS DO TR,Prefeitura Municipal de Uberlândia
13780 - 2015,01/07/2015,1 - CONVITE,255,FRANCISCO VIEIRA DE MORAES - ME,62393.86,"fornecimento de diversas peças (thinner, kit de embreagem, etc.) e para o serviço de mecânica (adaptar sede, esmerilar e assentar cabeçote, etc.), em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de diversas peças (thinner, kit de embreagem, etc.) e para o serviço de mecânica (adaptar sede, esmerilar e assentar cabeçote, etc.), em atendimento a Superintendência de Operações e manutenção.","AR CONDICIONADO TURBO AR, COMERCIO E SERVICOS LTDA",31874.32,CIRURGICA ALIANCA PRODUTOS HOSPITALARES LTDA,3,ATHIKA COMERCIO DE MOVEIS EIRELI - EPP,Prefeitura Municipal de Uberlândia
20278 - 2015,09/09/2015,1 - CONVITE,461,FRANCISCO VIEIRA DE MORAES - ME,12898.98,"fornecimento de diversas peças (filtro lubrificante, kit motor, válvula termostática, etc.) e para serviço de mecânica (mandrilhar capa mancal, plainar bloco, etc.), frota P/385 GMM5290 em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de diversas peças (filtro lubrificante, kit motor, válvula termostática, etc.) e para serviço de mecânica (mandrilhar capa mancal, plainar bloco, etc.), frota P/385 GMM5290 em atendimento a Superintendência de Operações e manutenção.",ARAUJO E PEREIRA TRANSPORTES LTDA - ME,25000,CIRURGICA ODONTO VIDA LTDA ME,3,AUTO POSTO ENERGY LTDA.,Prefeitura Municipal de Uberlândia
11638 - 2015,28/08/2015,5 - PREGÃO PRESENCIAL,197,COM TECH INFORMATICA LTDA,1764.1,futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,Secretaria Municipal de Governo,Qual o valor gasto com futura ou eventual locação de equipamentos de informática (microcomputadores e outros) em atendimento às Secretarias e aos Órgãos da Administração DIreta da Prefeitura Municipal de Uberlândia,ARCO VERDE MEIO AMBIENTE LTDA - ME,195717.6,CIRURGICA ZANIN LTDA - EPP,10,AUTUS COMERCIAL DISTRIBUIDORA LTDA,Prefeitura Municipal de Uberlândia
29115 - 2014,27/04/2015,5 - PREGÃO PRESENCIAL,966,SISTEMAS DE ALARME MAXIMA SEGURANCA LTDA - EPP,950.4,"aquisição de materiais para alarme (sirene branca para alarme, cabo 4 vias para alarme, ateria selada VRLA para alarme e outros), em atendimento às Secretarias Municipais de Saúde e de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de materiais para alarme (sirene branca para alarme, cabo 4 vias para alarme, ateria selada VRLA para alarme e outros), em atendimento às Secretarias Municipais de Saúde e de Governo.",ARCOVERDE SOLUCOES GRAFICAS LTDA - ME,21540,COCAL CEREAIS LTDA,5,AZM EMPREENDIMENTOS IMOBILIARIOS LTDA,Prefeitura Municipal de Uberlândia
14958 - 2015,26/06/2015,1 - CONVITE,289,EXTINTORES REGIONAL LTDA - EPP,13000,"fornecimento de extintores automotivos PP. 02 Kg Abc, para utilização nos caminhões da frota Municipal, em atendimento à Superintendencia de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de extintores automotivos PP. 02 Kg Abc, para utilização nos caminhões da frota Municipal, em atendimento à Superintendencia de Operações e manutenção.",ARMAZENA INDUSTRIA DE MOVEIS LTDA - EPP,17336,COM TECH INFORMATICA LTDA,15,AZUL ESPORTES COMERCIAL LIMITADA - EPP,Prefeitura Municipal de Uberlândia
15744 - 2015,14/07/2015,1 - CONVITE,318,UDI TRATORES COMERCIO DE PECAS E SERVICOS LTDA - ME,5755.19,"aquisição de diversas peças (porta injetor, bico injetor, reparo, alavanca, valvula, elementl anel, etc..) para atender o veículo 420/HMM7307 Ford Cargo/01 em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de diversas peças (porta injetor, bico injetor, reparo, alavanca, valvula, elementl anel, etc..) para atender o veículo 420/HMM7307 Ford Cargo/01 em atendimento a Superintendência de Operações e manutenção.",ARTE ORIGINAL LTDA,38289,COMERCIAL BARACUI & SANTOS LTDA - EPP,24,BETANIAMED COMERCIAL EIRELI - EPP,Prefeitura Municipal de Uberlândia
28360 - 2014,13/03/2015,5 - PREGÃO PRESENCIAL,937,AUTO POSTO VIEIRA E MARTINS LTDA,2288440,"aquisição de combustíveis (gasolina tipo C, óleo diesel B S-10, etanol hidratado e balde 20 litros ARLA 32), em atendimento à Sec. Mun. Saúde, Sec. Mun. de Cultura e Sup. de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de combustíveis (gasolina tipo C, óleo diesel B S-10, etanol hidratado e balde 20 litros ARLA 32), em atendimento à Sec. Mun. Saúde, Sec. Mun. de Cultura e Sup. de Operações e manutenção.",ASENHORINHA TRANSPORTES LTDA - ME,7900,COMERCIAL ELETRO - EIRELI - EPP,12,BIOFOR COMERCIO DE REAGENTES LTDA-EPP,Prefeitura Municipal de Uberlândia
26348 - 2014,24/03/2015,1 - CONVITE,850,H SOM SONORIZACAO & ASSISTENCIA TECNICA LTDA - EPP,4074,"aquisição de diversos equipamentos para áudio (microfone sem fio, microfone com fio, caixa de som, mesa de som amplificada e tripé para caixa de som), em atendimento à Superintendência da Mulher da Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com aquisição de diversos equipamentos para áudio (microfone sem fio, microfone com fio, caixa de som, mesa de som amplificada e tripé para caixa de som), em atendimento à Superintendência da Mulher da Secretaria Municipal de Governo.","ASSOC MOT TRANS PASS EST GOIAS, TOCANTINS E MINA GERAIS",7173500,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,25,BIOHOSP PRODUTOS HOSPITALARES LTDA,Prefeitura Municipal de Uberlândia
30061 - 2014,15/04/2015,5 - PREGÃO PRESENCIAL,993,COMERCIAL BARACUI & SANTOS LTDA - EPP,2793,"fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",ASSOCIACAO DOS TRANSPORTADORES DE PASSAGEIROS E CARGAS DO TR,83420,COMERCIAL LORENA LTDA - EPP,8,BOHRER EQUIPAMENTOS DE AUDIO E VIDEO EIRELI-ME,Prefeitura Municipal de Uberlândia
13578 - 2015,24/07/2015,5 - PREGÃO PRESENCIAL,252,LF EMPRESARIAL LTDA - EPP,122514,"futura ou eventual aquisição de pneus, câmaras de ar e fitões, em atendimento á Superintendência de Operações e Manuntenção.",Secretaria Municipal de Governo,"Qual o valor gasto com futura ou eventual aquisição de pneus, câmaras de ar e fitões, em atendimento á Superintendência de Operações e Manuntenção.",ATHIKA COMERCIO DE MOVEIS EIRELI - EPP,16250,COMERCIAL MACKEY LTDA - ME,8,BUDNY INDUSTRIA E COMERCIO EIRELI,Prefeitura Municipal de Uberlândia
25024 - 2015,06/11/2015,1 - CONVITE,666,PORTO SEGURO COMPANHIA DE SEGUROS GERAIS,1292,"fornecimento de apólice de seguro para veículo (Fiat Uno Way, placa PUD 2114), em atendimento à Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de apólice de seguro para veículo (Fiat Uno Way, placa PUD 2114), em atendimento à Secretaria Municipal de Governo.",ATITUDE COMERCIAL EIRELI - ME,1237080.4,COMETA DISTRIBUIDORA DE PECAS E SERVICOS LTDA - ME,2,C A L VICENTE NUTRICAO ANIMAL ME,Prefeitura Municipal de Uberlândia
30061 - 2014,15/04/2015,5 - PREGÃO PRESENCIAL,993,BUSCA PECAS COMERCIO LTDA - ME,16923,"fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",AUTO POSTO ENERGY LTDA.,40680,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,24,C.B.S SONORIZACAO EIRELI,Prefeitura Municipal de Uberlândia
13789 - 2015,01/07/2015,1 - CONVITE,255,FRANCISCO VIEIRA DE MORAES - ME,5900,"fornecimento de diversas peças (thinner, kit de embreagem, etc.) e para o serviço de mecânica (adaptar sede, esmerilar e assentar cabeçote, etc.), em atendimento a Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de diversas peças (thinner, kit de embreagem, etc.) e para o serviço de mecânica (adaptar sede, esmerilar e assentar cabeçote, etc.), em atendimento a Superintendência de Operações e manutenção.",AUTO POSTO VIEIRA E MARTINS LTDA,2704970,COMPANHIA MINEIRA DE ELETRIFICACAO LTDA,2,CADERPEL COMERCIO LTDA - ME,Prefeitura Municipal de Uberlândia
6479 - 2015,30/06/2015,5 - PREGÃO PRESENCIAL,124,AUTO POSTO ENERGY LTDA.,40680,"fornecimento de combustível (etanol hidratado), em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de combustível (etanol hidratado), em atendimento à Superintendência de Operações e manutenção.",AUTUS COMERCIAL DISTRIBUIDORA LTDA,145300,CONCORRENCIA COMERCIO E SERVICOS LTD-EPP,2,CAMILA LOUISE DE SOUZA,Prefeitura Municipal de Uberlândia
8298 - 2015,13/05/2015,1 - CONVITE,162,SHG COMERCIO E SERVICOS LTDA - ME,4100,"fornecimento de estante de aço 1,98x0,92x0,40 metros,com 06 (seis) bandeijas, em atendimento à Superintendência de Proteção e Defesa do Consumidor da Secretaria Municipal de Governo.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de estante de aço 1,98x0,92x0,40 metros,com 06 (seis) bandeijas, em atendimento à Superintendência de Proteção e Defesa do Consumidor da Secretaria Municipal de Governo.",AZM EMPREENDIMENTOS IMOBILIARIOS LTDA,3392260.83,CONSTRU VIDRO COMERCIO E SERVICOS LTDA - ME,2,CAPERPASS INDU E COMERCIO DE ARTIGOS PLASTICOS LTDA - ME,Prefeitura Municipal de Uberlândia
30061 - 2014,15/04/2015,5 - PREGÃO PRESENCIAL,993,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,108838,"fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",Secretaria Municipal de Governo,"Qual o valor gasto com fornecimento de baterias automotivas, em atendimento à Superintendência de Operações e manutenção.",AZUL ESPORTES COMERCIAL LIMITADA - EPP,8149.3,CONSTRUTORA SODESTE LTDA,2,CARLOS ACHCAR EMPREENDIMENTOS IMOBILIARIOS EIRELI - EPP,Prefeitura Municipal de Uberlândia
21802 - 2014,23/12/2014,5 - PREGÃO PRESENCIAL,714,ALGAR CELULAR S/A,26998.92,"prestação de serviços de telecomunicações e correlatos em atendimento às Secretarias e ao Órgãos da Administração Direta e Indireta da PMU, com atuação específica na área geográfica do Município de Uberlândia, iincluindo distritos e zona rural.",Secretaria Municipal de Governo,"Qual o valor gasto com prestação de serviços de telecomunicações e correlatos em atendimento às Secretarias e ao Órgãos da Administração Direta e Indireta da PMU, com atuação específica na área geográfica do Município de Uberlândia, iincluindo distritos e zona rural.",BARACUI COMERCIAL LTDA - ME,183566.06,COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,19,CARROCERIAS MAMBRINI TONDINELLI LTDA,Prefeitura Municipal de Uberlândia
